column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
policy_code,99999.0,0.0,0.0,99999.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total_rec_int,99999.0,0.0,0.0,99999.0,24125.83,2797.5923249232146,0.0,2775.0591031663876,84555.85825662455,83266.11141918905,85865.40593233709,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.05000305175781,283.54998779296875,929.219970703125,1839.010009765625,3759.760009765625,8556.240234375,13323.23046875,24125.830078125
mths_since_last_delinq,99999.0,0.0,0.0,51806.0,157.0,34.059973748214496,0.0,21.976570453685206,118.0,118.0,118.0,2.0,0.5180651806518065,0.0,48193.0,51806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,15.0,31.0,50.0,74.0,81.0,157.0
max_bal_bc,99999.0,0.0,0.0,21372.0,127305.0,5887.979739846528,0.0,5284.701239120251,10679.632233524042,10547.619768336057,10813.268023907302,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,2436.0,4480.0,7762.0,16423.0,23332.0,127305.0
orig_projected_additional_accrued_interest,99999.0,0.0,0.0,621.0,1914.39,377.65652173913037,1.92,305.26946752137763,611.0,611.0,611.0,1.0,0.993789937899379,0.0,99378.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9199999570846558,25.40999984741211,53.72999954223633,141.2100067138672,301.5299987792969,518.6699829101562,964.9199829101562,1383.6600341796875,1914.3900146484375
installment,99999.0,0.0,0.0,99999.0,1354.66,434.55239542391763,14.77,246.20429024216176,17841.0250151158,17595.351817744275,18090.083799237458,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,14.770000457763672,50.41999816894531,115.76000213623047,256.739990234375,377.0400085449219,570.1599731445312,900.3499755859375,1162.3399658203125,1354.6600341796875
hardship_amount,99999.0,0.0,0.0,781.0,638.13,128.11033290653006,0.64,103.19940442280841,766.0,766.0,766.0,1.0,0.992189921899219,0.0,99218.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999856948853,8.0,17.739999771118164,48.13999938964844,102.11000061035156,176.57000732421875,323.45001220703125,489.7900085449219,638.1300048828125
tot_coll_amt,99999.0,0.0,0.0,99999.0,169257.0,267.82657826578264,0.0,2094.3453686475905,4010.0,4010.0,4010.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,5234.0,169257.0
hardship_status,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.992189921899219,0.0,99218.0,0.0,0.0,0.0,781.0,3.0,3.0,3.0,,,,,,,,,
inq_fi,99999.0,0.0,0.0,21372.0,17.0,0.9439453490548381,0.0,1.4468715236471814,18.0,18.0,18.0,1.0,0.7862778627786278,0.0,78627.0,21372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,17.0
